Name,Brand,Price,DiscountedPrice,Category,SubCategory,Quantity,Description,BreadCrumbs
Olay Natural Aura Instant UV Protection Glowing Cream,Olay,189,170,Beauty & Cosmetics,Face Care,40 gm,"
This daily Instant Glowing Fairness Skin Cream with triple vitamin system & non-greasy formula gives your All in One Fairness with skin that glows in an instant.

*Actual packaging may vary from the Image
",Beauty & Cosmetics > Beauty & Cosmetics/Skin Care > Face Care
Olay Total Effects 7-In-One Day Normal SPF 15 Cream,Olay,899,825,Beauty & Cosmetics,Face Care,50 gm,"
Olay Total Effects with its VitaNiacin complex, provides skin with a well-balanced formulation that helps skin to stay looking young and fights the 7 Signs of Ageing.

*Actual packaging may vary from the Image
",Beauty & Cosmetics > Beauty & Cosmetics/Skin Care > Face Care
Olay Total Effect 7 In 1 Anti Ageing Night Cream,Olay,899,719,Beauty & Cosmetics,Beauty & Cosmetics/Skin Care,50 gm,"OverviewInternational bestseller Skincare Brand Olay has engineered a range of products that promises the perfect skin for all ages and across skin types. Wake up to visibly firmer and younger looking skin every morning. Olay Total Effects delivers optimal hydration to nourish skin and visibly fight the 7 signs of aging (Smoothes, Evens Tone, Brightens, Refines Pores, Reduces Age Spots, Restores Firmness, Moisturises). Vitamin B5 is an anti-inflammitory and skin conditioner, boosts collagen and treats acne. Vitamin B3 renews your cell and holds skin moisture. Anti-oxidants Vitamin C, Vitamin E and Green Tea clears skin, prevents aging and protects from harmful radicals of the environment. Visible Skin Results from Day 1. Start with the youthful glow for your skin, now with Total Effects Night Cream.BenefitsDaily, all-in-one face night moisturizer for Women. Fights 7 signs of aging for younger-looking skin Revives skin by reducing the appearance of fine lines & wrinkles, age spots, uneven tone, uneven texture, dryness, dullness and the appearance of poresPowerful Ingredients: Pro  Vitamin B5, Vitamin C&E, Green Tea Extract, Vitamin B3 Visible Results Day 1: Instantly improves hydration and with continued use, builds skin to its strongest state to best combat everyday stressHow to UseDaily moisturizer: Can be used in Night Skin Type: Normal Skin, Oily Skin, Dry Skin, Combination Skin",Beauty & Cosmetics > Beauty & Cosmetics/Skin Care
Khadi Natural Herbal Moisturizer Rose & Honey,Khadi,210,129,Personal Care,Skin Care,210 ml,"Care Instructions. Avoid contact with eyes. In case of contact, rinse immediately with water in a thorough manner. If irritation persists, consult your doctor. Natural products can also cause allergic reactions in people.  Benefits Moisturiser.  By Skin/Hair Type For All Types.  Ingredients Purified Water, Sheabutter (Butyrospermum Parkii), Kokum Butter (Garcinia Indica), Sunflower Oil (Helianthus Annus), Beeswax (Cera Alba), Aloe Vera Ext (Aloe Barbadensis), Olive Oil (Olea Europaea), Jojoba Oil (Simmondsia Chinensis), Rose Extract (Rosa Damascena), Madhu (Honey), Kastoori Methi (Trigonella Foneum), Wheatgerm Oil (Triticum Vulgare), Licorice Ext (Glycyrrhiza Glabra), Grapeseed Oil (Vitis Vinifera)  Instruction Of Use  Pump out an adequate amount of moisturizer on your palm. Gently massage the moisturizer all over your body until completely absorbed.",Personal Care > Skin Care
Khadi Natural Herbal Moisturizer Almond & Saffron,Khadi,275,209,Personal Care,Skin Care,210 ml,"Overview Khadi Natural Almond & Saffron Moisturizer is paraben-free with a rich blend of the natural goodness of Aloe Vera and wheat germ oil and a non-greasy formulation that gets absorbed into the skin easily.Skin/Hair Type For All Types Ingredients Purified Water, Sheabutter (Butyrospermum Parkii), Kokum Butter (Garcinia Indica), Sunflower (Oilhelianthus Annus), Beeswax (Cera Alba), Aloe vera Ext (Aloe Barbadensis), Olive Oil (Olea Europaea), Almond Oil (Prunus Amygdalus Dulcis), Kastoori Meethi (Trigonella Foneum), Wheatgerm Oil (Triticum Vulgare), Licorice Extract (Glycyrrhiza Glabra), Grapeseed Oil (Vitis Vinifera), Saffron Ext (Crocus Sativus).  Instruction Of Use  Pour onto your palm & apply it all over your skin and massage gently. Apply it in circular motions for better results. Can be used every day.",Personal Care > Skin Care
Soulflower Vitamin C Green Tea Glowing Day Cream SPF 30+,Soulflower,700,350,Personal Care,Skin Care,50 gm,"Key Features- A gentle & effective formulation made with 1% Bakuchi Oil, 2% Green Tea Extract, 0.5% Vitamin C, 0.4% Ceramides. It is a double action formula that provides an instant boost of moisturization & SPF 30+ sun protection. - Easily absorbed, lightweight & non-sticky blend that effortlessly gives your skin a velvety matte finish.How to Use- Apply a generous amount of Day Cream on cleansed face & neck. Message in an upward circular motion. For best results use 20 minutes before going out in the sun. Reapply after washing your hands or when they feel dry.Any Other Must-Know Information- Vegan & Cruelty-Free- No Artificial Fragrance- No Artificial Colours- No Parabens- No Sulfates (SLS/SLES)- No Added Phthalates- No Silicones- No Petroleum- No Mineral Oil- No Alcohol- No Preservatives - No Toxic Chemicals - No Paraffin - No Carcinogen - No NPE (Nonylphenol Ethoxylate)- No Bha (Butylated Hydroxyanisole)- No Bht (Butylated Hydroxytoluene)- No Hydroquinone- No Formaldehyde- No Triclosan- No Triclocarban- No Chemical SunscreenBenefitsConsciously formulated naturally derived botanicals & bio actives it helps with concerns like dryness, roughness, acne, premature aging, pigmentation, irritation, free radicals, dark spots, uneven skin tone. dead skin cells, sun damage, damaged & rough skin.About the BrandSoulflower came to life in 2001 with an objective to deliver happiness to our consumers, which originated from Sense, Sensibility and Sensitivity. They are India's non-preservative brand of natural aroma, skin and hair care. We cater to our customer's senses through incredibly smelling aroma; we make products with simple sensibility for sensible people like you and we are sensitive towards things that cannot speak &ndash; Skin, Animals and Nature. These thoughts have given birth to three ideas which Soulflower abides by - Compassion, Love and Gratitude as values. Our every product is made with such tenderness that you will fall in love with your skin and hair again! Love inspires us to create such products! Their product range includes handmade soaps, Cold pressed carrier oils, pure essentials oil, natural aroma oils, aromatic candles and curated gifting range.",Personal Care > Skin Care
Himalaya Purifying Neem Face Wash,Himalaya,210,180,Personal Care,Personal Care/Face Care,200 ml,India,Personal Care > Personal Care/Face Care
Himalaya Purifying Neem Face Wash,Himalaya,170,140,Personal Care,Personal Care/Face Care,150 ml,India,Personal Care > Personal Care/Face Care
Himalaya Purifying Neem Face Wash,Himalaya,130,115,Personal Care,Personal Care/Face Care,100 ml,India,Personal Care > Personal Care/Face Care
Clean & Clear Foaming Facewash,Clean & Clear,140,125,Personal Care,Personal Care/Face Care,100 ml,"
- Gentle enough to use every day, for clean and clear skin that glows
- Helps prevent oily shine & pimples
- Apply a small amount on wet palm and work into rich lather. Gently massage onto face, avoiding the eye area
- Rinse off thoroughly. Use twice daily for skin that's beautiful, clean and clear! 
- Follow with Clean & Clear Oil Free Moisturiser for best results

*Actual packaging may vary from the Image
",Personal Care > Personal Care/Face Care
Clean & Clear Foaming Facewash,Clean & Clear,195,165,Personal Care,Personal Care/Face Care,150 ml,"
- Gentle enough to use every day, for clean and clear skin that glows
- Helps prevent oily shine & pimples
- Apply a small amount on wet palm and work into rich lather. Gently massage onto face, avoiding the eye area
- Rinse off thoroughly. Use twice daily for skin that's beautiful, clean and clear! 
- Follow with Clean & Clear Oil Free Moisturiser for best results

*Actual packaging may vary from the Image
",Personal Care > Personal Care/Face Care
Pond's Bright Beauty Spot-Less Glow Facewash,Pond's,349,189,Personal Care,Personal Care/Face Care,200 gm,India,Personal Care > Personal Care/Face Care
Patanjali Saundarya Aloe Vera Gel,Patanjali,90,83,Personal Care,Skin Care,150 ml,"Overview Patanjali saundarya aloevera gel is an instant solution for pimples, wrinkles & glowing fair skin. The primary ingredient in this gel is aloe vera, which has been proven to possess strong healing properties. It can soothe the damaged skin and enhance its repair process. It is used for treating several skin ailments including acne, burns, wounds & sun damage.  Benefits- Dermatologically tested. - Useful in rejuvenating, nourishing & beautifying skin.- Also used as an anti &ndash;tan pack.- Useful in dryness and roughness of skin.- Useful in dandruff & hair fall solution.- An instant solution for pimples, wrinkles & glowing skin.- Removes dark spots & increases skin glow.  Ingredients Aloevera (Alo Bardadensis). Base Materials: Vitamin E, Permitted colour & Sugandhit. dravya.  How to use- For pimples, wrinkles :- Massage the face with aloevera gel, and leave it for night. Wash it with lukewarm water in the morning.- Apply aloevera gel on face 30 minutes before bath.- For roughness, blemishes :- Massage with aloe vera gel for 5 - 7 minutes.- For hair problems: - Massage with aloe vera gel 15 minutes before bath.",Personal Care > Skin Care
Pond's Pure Detox Anti Pollution + Purity Facewash,Pond's,425,212,Personal Care,Personal Care/Face Care,200 gm,"OverviewWith activated charcoal, this deep cleanser extracts out pollutants and impurities, leaving skin so pure, it glows! Urban atmospheres are plagued with dust and pollutants that are quite harmful to your skin. These particles settle on your skin and penetrate the surface causing possible long-term damage while also darkening your skin cells from the deep within. This can cause rashes, acne, eczema, dryness, dark spots and even premature aging. To help remove all traces of pollution, dirt and impurities and give your skin a fresh, clean and glowing complexion, use the Ponds Pure Detox facewash it happens to be one of the best face washes for women to restore radiant looks. Designed with activated Charcoal technology this gentle face wash works for all skin types. It helps uncover your natural radiance by working on the outside removing dead skin cells and going deeper to clean out all other impurities in your skin. The unique formula used in this face wash features activated charcoal that work from deep within your pores to the surface to give you clear skin thats radiant with a natural glow. This ingredient acts as a magnet that draws out the pollution, dirt and dust from your skin allowing it to be cleansed thoroughly. Key Features & BenefitsContains activated carbon, which easily absorbs & lifts away the black impurities & pollution particlesHelps reduce the causes of blemishesReveals your natural pure detoxified brighter skinclears uneven skin toneRemoves dirt and impurities from deep within the skinGives you a pollution free glow Shelf Life ( Months) / Best Before 36 Months IngredientsMyristic Acid, Glycerin, Water, Propylene Glycol, Potassium Hydroxide, Palmitic Acid & Stearic Acid, Lauric Acid, Glycol Distearate Decyl Glucoside Glyceryl Stearate, Polyquaternium-7, DMDM Hydantoin & lodopropynyl Butylcarbamate, Niacinamide, Disodium EDTA, Charcoal Powder, Carbon, Perfume Usage DirectionSqueeze a coin-sized amount on your palms & lather up with lukewarm water.Gently massage your wet face for 30-60 seconds.Rinse with lukewarm water. Storage DirectionStore in a cool and dry place. Hazardous (Yes/No) No Safety WarningIn case of contact with eyes rince with water immediately.",Personal Care > Personal Care/Face Care
Everyuth Naturals Brightening Lemon & Cherry Face Wash,Everyuth,150,75,Personal Care,Personal Care,150 gm,India,Personal Care
Garnier Men Acno Fight Face Wash,Garnier,225,170,Personal Care,Personal Care/Face Care,100 gm,"
Fights the 6 signs of pimple problems!
Face wash helps control oil, dry pimples, as well as uproots blackheads, tighten pores, reduces redness and lightens marks.
Its Salicylic and Herbal repair formula helps fight the 6 signs of pimples.

*Actual packaging may vary from the Image
",Personal Care > Personal Care/Face Care
Garnier Men Turbo Bright Double Action Face Wash : 100 gms,Garnier,225,170,Personal Care,Personal Care/Face Care,100 gm,India,Personal Care > Personal Care/Face Care
Garnier Men Oil Clear Deep Cleansing Facewash,Garnier,225,175,Personal Care,Personal Care/Face Care,100 gm,India,Personal Care > Personal Care/Face Care
Everyuth Naturals Exfoliating Walnut Scrub,Everyuth,225,185,Personal Care,Skin Care,200 gm,"
Don't let your beautiful skin hide under dirt and impurities! Cleanse your pores with Nano Multi Vit A and Walnut Shell Powder which scrubs away dead skin cells and gives your face a delightfully radiant glow.

- Provides nourishment to the skin
- Gives fresh, clear & beautiful skin

*Actual packaging may vary from the Image
",Personal Care > Skin Care
Nivea Men All-In-One Charcoal Facewash,Nivea,250,175,Personal Care,Personal Care/Face Care,100 gm,"
Get rid of oiliness and reduce acne with NIVEA MEN All-in-1 Face Wash. The formula enriched with natural charcoal extracts provides long lasting oil control effect to reduce acne.
",Personal Care > Personal Care/Face Care
Garnier Bright Complete Face Wash - Lemon,Garnier,189,134,Personal Care,Personal Care/Face Care,100 gm,India,Personal Care > Personal Care/Face Care
Everyuth Naturals Purifying Neem Face Wash,Everyuth,165,82,Personal Care,Personal Care/Face Care,150 gm,India,Personal Care > Personal Care/Face Care
Pears Pure & Gentle Facewash,Pears,160,148,Personal Care,Personal Care/Face Care,60 gm," OverviewThere's nothing like knowing that your skin is soft, smooth, youthful and glowing. With the right products you can have that feeling every single day, starting with your cleansing routine. Pears understands this and brings to you Pears Pure and Gentle facewash enriched with pure glycerine extracts that gives skin a soft and supple feel while gently cleansing it.The facewash is ultra mild and PH balanced, acts as a gentle exfoliator, removing clogged impurities and dirt while its pure glycerine moisturises skin, keeping your face healthy, glowing and youthful.Pears pure and gentle facewash will not only shed dead skin cells but also give your skin a smooth, youthful glow. Its 100% soap-free formulation makes the facewash suitable for frequent use, without causing dryness or stretching skin. Its mild ph balanced formula does not disturb the natural balance of the skin, and its fragrance will leave you feeling refreshed and rejuvenated.Use this twice a day for best results. Squeeze a small amount on your wet palm and work into a rich lather. Gently massage your face for 30-40 seconds, while avoiding the eyes contour region. Once done, rinse the lather off mildly with lukewarm water.Come pamper your skin with Pears facewash, today! Features & BenefitsContains 98% pure glycerine, Gently cleanses and washes away impurities, Ultra mild 'ph-balanced' formula does not disturb the natural balance of your skin, Glycerine moisturises your skin, 100% soap free, For skin that is soft smooth glowing and youthful How To UseWet your face, apply on face and neck and gently massage into a lather, rinse off Care InstructionsStore in Cool and dry place Key IngredientsGlycerine, Water, Sodium Laureth Manufacturing DetailsHindustan Unilever LimitedL.B.C.P Unit 2, Haridwar 249 403, Uttarakhand. M16/ C/ Ua/ 2010Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099",Personal Care > Personal Care/Face Care
Mirabelle Papaya Fairness Facial No.1 K-Mask,Mirabelle,99,49,Beauty & Cosmetics,Beauty & Cosmetics/Skin Care,25 ml,Overview  Mirabelle's organic facial mask packs to keep your skin radiant and glowing. It rejuvenates your skin and is specially formulated for Indian skin. It delivers rich nutrients to the skin and provides intense moisture and fairness. It balances oil and water in your skin and helps moisturize and soothe sensitive skin.  Key Features- Specially Designed for Indian skin.- Suitable for all types of skin.- Soothes sunburn skin.- Helps in reducing wrinkles & Moisturizes the skin.  Ingredients- Repair Aged skin.- Works as an Anti-Inflammatory.-Remove dead skin cells and enhance your skin.,Beauty & Cosmetics > Beauty & Cosmetics/Skin Care
Nivea Men Dark Spot Reduction Facewash,Nivea,225,144,Personal Care,Personal Care/Face Care,100 gm,Overview Nivea Men Dark Spot Reduction Face Wash reduces the appearance of dark spots and makes skin look healthy and feel fresh. The effective 10x formula is suitable for all skin types and is now even better with Whitanat Vita Complex Plus.  Benefits&nbsp;- Deeply cleansed skin.- Reduced dark spots accumulated from dirt and residues.- Reduced oiliness & tightened pores up to 12h.- Healthy looking & fresh feeling skin.  How to Use- Lather up and massage over the wet face.- Rinse off with clean water.- Avoid direct eye contact.,Personal Care > Personal Care/Face Care
Garnier Serum Bright Complete Mask Lemon,Garnier,99,66,Personal Care,Skin Care,28 gm,China,Personal Care > Skin Care
Garnier Men Turbo Bright Face Wash,Garnier,225,199,Personal Care,Personal Care/Face Care,100 gm,India,Personal Care > Personal Care/Face Care
Emami Fair And Handsome Cream For Men,Emami,155,135,Personal Care,Personal Care/Face Care,60 gm,India,Personal Care > Personal Care/Face Care
Dabur Gulabari Rose Water,Dabur,50,46,Personal Care,Skin Care,120 ml,"
- Enriched with the goodness of rose
- Keeps your skin glowing

*Actual packaging may vary from the Image
",Personal Care > Skin Care
Mirabelle Berries Fairness Facial No.1 K-Mask,Mirabelle,99,49,Beauty & Cosmetics,Beauty & Cosmetics/Skin Care,25 ml,Overview  Mirabelle's organic facial mask packs to keep your skin radiant and glowing. It rejuvenates your skin and is specially formulated for Indian skin. It delivers rich nutrients to the skin and provides intense moisture and fairness. It balances oil and water in your skin and helps moisturize and soothe sensitive skin.  Key Features- Specially Designed for Indian skin.- Suitable for all types of skin.- Soothes sunburn skin.- Helps in reducing wrinkles & Moisturizes the skin.  Ingredients- Berries- Helps in Anti-Aging.- Rich in vitamin c - collagen synthesis.- Remove skin tan and brighten the skin.,Beauty & Cosmetics > Beauty & Cosmetics/Skin Care
Nivea Men Oil Control Facewash,Nivea,199,144,Personal Care,Personal Care/Face Care,100 gm,India,Personal Care > Personal Care/Face Care
Garnier Japanese Sakura Serum Tissue Mask,Garnier,99,66,Personal Care,Skin Care,28 gm,China,Personal Care > Skin Care
Mirabelle Aloe Vera Fairness Facial No.1 K-Mask,Mirabelle,99,49,Beauty & Cosmetics,Beauty & Cosmetics/Skin Care,25 ml,Overview  Mirabelle's organic facial mask packs to keep your skin radiant and glowing. It rejuvenates your skin and is specially formulated for Indian skin. It delivers rich nutrients to the skin and provides intense moisture and fairness. It balances oil and water in your skin and helps moisturize and soothe sensitive skin.  Key Features Specially Designed for Indian skin. Suitable for all types of skin. Soothes sunburn skin. Helps in reducing wrinkles & Moisturizes the skin.  Ingredients Aloe Vera  Benefits- Helps in reducing wrinkles- Moisturizes the skin- Soothes sunburn skin,Beauty & Cosmetics > Beauty & Cosmetics/Skin Care
Garnier Serum Hydra Bomb Pomegranate Tissue Mask,Garnier,99,66,Personal Care,Skin Care,28 gm,China,Personal Care > Skin Care
Mamaearth Skin Illuminate Vitamin C & Turmeric Face Serum,Mamaearth,599,479,Personal Care,Skin Care,30 gm,"Key Features- Along with minimizing the appearance of fine lines, vitamin C also helps the surface of your skin to appear smoother and firmer by activating cells called fibroblasts that make new collagen. It helps the skin to heal.- Vitamin C serum for the face with Nymphaea Alba Flower Extract It has an intensely nourishing, moisturizing and regenerating effect on the skin. It brightens the complexion, strengthens capillaries, and soothes irritation, redness, and infections. It helps in the reduction of fine lines, wrinkles, and scars.- Vitamin C serum with Turmeric contains antioxidants and anti-inflammatory components. These characteristics provide lustre and glow to the skin. It also revives skin by bringing out its natural radiance.- Skin Illuminate Face Serum with Squalene is a detoxifier and plays a vital role in protecting and lubricating skin. It boosts hydration, which helps skin look healthy and vibrant. It has antioxidants that fight skin damage and free radicals. Squalene helps in firming the skin as it boosts collagen production. It also has anti-inflammatory properties.  How To Use- Pump the serum out on a fingertip.- Apply dots all over the face & neck.- Gently massage in an upward circular motion until completely absorbed.- Follow it up with our Oil-Free Face Moisturizer.- For best results, apply twice a day.  Suitable For- Men and Women of age 15 years and above.- The face serum is suitable for all skin types.",Personal Care > Skin Care
Mirabelle Tea Tree Essential Facial Sheet Mask,Mirabelle,129,64,Beauty & Cosmetics,Beauty & Cosmetics/Skin Care,25 ml,"How to Use- Step 1. Wash the face with normal water and wipe with a towel, gently apply the facial mask on the entire face.- Step 2. Relax for 10 to 15 minutes and then remove the mask.- Step 3. Tap gently on the face to absorb the remaining essence. Do not wash the face again.  About the Brand Mirabelle Korea Tea Tree Essential Sheet mask with the potential benefit of tea tree oil, extracts of Evening Primrose flower, reduces acne scars and leaves you with blemish-free and flawless skin. Suitable for all skin types.",Beauty & Cosmetics > Beauty & Cosmetics/Skin Care
Pond's Bright Beauty Face Scrub,Pond's,225,155,Personal Care,Skin Care,100 gm,"
Getting rid of daily tan will now be an easy task with Pond's Bright Beauty Tan Removal Scrub. Specially formulated with TanSolve beads, along with a brightening cream moisturiser, this scrub removes daily tan, dark spots and gives your skin a radiant glow. This gentle yet effective face wash deeply cleanses, removes dirt and impurities and gives you oil-free and bright skin after every wash. This scrub will leave your skin looking fresh and attractive even after a long day outdoors and its purifying properties will give you an even skin tone. All these benefits in one tube, right here! This tube is sure to give you great results!
",Personal Care > Skin Care
Lotus Herbals White Glow 3 In 1 Deep Cleansing Facial Foam,Lotus,165,125,Beauty & Cosmetics,Beauty & Cosmetics/Skin Care,50 gm,"
Whitening Facial Foam Cleansing skin whitening facial foam deep cleanses your skin, brightens it and prevents melanin production that causes skin darkening. The result - You have brighter radiant skin.

*Actual packaging may vary from the Image
",Beauty & Cosmetics > Beauty & Cosmetics/Skin Care
Lotus Herbals Oatmeal & Yogurt Skin Whitening Scrub,Lotus,270,220,Personal Care,Skin Care,100 gm,"
Oatmeal & Yogurt Skin Whitening Scrub exfoliates the skin gently, removes dirt, impurities, blackheads and whiteheads leaving your skin brighter and healthier with a shining glow.

*Actual packaging may vary from the Image
",Personal Care > Skin Care
Mirabelle Charcoal Premium Facial Sheet Mask,Mirabelle,149,74,Beauty & Cosmetics,Beauty & Cosmetics/Skin Care,25 ml,"OverviewDetox your skin with the Mirabelle Korea Charcoal Premium Facial Sheet Mask. This skin purifying facial sheet mask exfoliates the skin and unclogs pores. It works really well as a deep cleanser since it absorbs oil and dirt to give you clearer skin. This mask is suitable for all skin types.  Key Features- Moisturizes and nourishes the skin.- Offers softness and hydration to the skin.- Improve skin's suppleness and elasticity.- Suitable for all skin types.- One time I used a sheet mask.- 100% Pure Cotton Mask Sheet.  About the Brand The masks that have been made by soaking in herbal and powerful beauty ingredients are a ""carte du jour"" version of fairness creams. Mirabelle's fairness sheet masks hydrate, clear and brighten skin for a glowing complexion. It eliminates harmful ingredients and makes products that can be used by everyone by using raw materials obtained from nature. Mirabelle continues to research the skin and develop products that are suitable for a variety of skin types.",Beauty & Cosmetics > Beauty & Cosmetics/Skin Care
Lotus Herbals Aprisrub Fresh Apricot Srub,Lotus Herbals,205,142,Personal Care,Skin Care,100 gm,"Key features- Suitable for all skin types- Provides fresh skin in just a few minutes- Helps to refine the skin- Efficiently cleans the clogged pores- Helps to remove blackheads from the skin- Removes the dead skin cells- Helps to get glowing and refreshing skin- Formulated with Elder Flower extracts, Walnut Shells, Glycerin and Cetyl Alcohol- Helps to restore moisture of the skin- Comes with skin softening and oil absorbing properties- Ideal for daily useHow to UseApply all over face and neck, gently massage in circular movement for 5 minutes, more on black heads (avoid rubbing on pimples)Wash off with cold waterAny Other Must-Know InformationTo get a refreshed, soft and glowing skin, Lotus Herbals Apriscrub Fresh Apricot Scrub is an perfect scrub for all skin types. This is a unisex scrub and refines the skin efficiently. It is enriched with natural ingredients such as Walnut Shells, Cetyl Alcohol, Elder Flower extracts and Glycerin. It helps to remove the dead cells without affecting your skin. This scrub is effective to provide brighten skin by removing the blackheads from the skin. It cleanses the clogged pores in the skin and restores the moisture. This scrub comes with special oil absorbing and skin softening properties.About the BrandLotus Herbals is India's leading natural skincare and cosmetics company, known for it's wide range of Ayurvedic and herbal skin care, hair care and cosmetic products. Combining ancient wisdom from the Vedas with 21st century technology, the brand offers a range of over 250 skin care, hair care, sun care and make-up products for the retail and professional markets. Lotus Herbals believes in actively utilizing herbal ingredients instead of chemical-based, synthetic and cruel animal tested cosmetics. ",Personal Care > Skin Care
Mirabelle Cucumber Fairness Facial No.1 K-Mask,Mirabelle,99,49,Beauty & Cosmetics,Beauty & Cosmetics/Skin Care,25 ml,"OverviewExtracts from natural ingredients deliver rich nutrients to the skin and provide intense moisture and glow. This Fairness Facial Mask with various cucumber extracts is specially formulated for the Indian skin. It contains mixed extracts of Cucumber, Pumpkin and Apple which allows moisture to pass through the skin and keeps the skin tone clear and bright. Key Features Suitable for both men and womenSpecially designed for Indian skinKeeps the skin tone clear and brightParaben free and suits all skin types Benefits Treats open pores and repairs damaged skinReduces dark circlesHelps to clear sunburn100% pure cotton sheet provides moisture and nourishments without irritation by adhering to skin perfectly. How to UseGently apply the facial mask on the entire face after cleansing.Relax for 10 to 15 minutes and then remove the mask.Tap gently on the face to absorb the remaining essence. Do not wash your face Key IngredientsExtracts of Cucumber, Pumpkin, Apple and others All IngredientsWater, Glycerine, Dipropylene Glycol, Niacinamide, butylene glycol, PEG-60 Hydrogenated Castor Oil, Caprylyl Glycol, Carbomer, Phenoxyethanol, Panthenol, Tromethamine, Allantoin, Cellulose Gum, Fragrance, Caprylhydroxamic Acid, Disodium EDTA, Sodium Hyaluronate, 1,2-Hexanediol, Rehmannia Glutinosa Root Extract, Paeonia Lactiflora Root Extract, Cinnamomum Cassia Bark Extract About the BrandMIRABELLE eliminates harmful ingredients and makes products that can be used by everyone by using raw materials obtained from nature.",Beauty & Cosmetics > Beauty & Cosmetics/Skin Care
Pond's Juliet Rose Body Moisturising Lotion,POND'S,330,210,Personal Care,Personal Care/Face Care,275 ml," OverviewWant an answer to your skin problems? We have a body lotion just for you! Experience the magic of roses with Ponds Moisturizing Body Lotion, now in Juliet Rose. With the expertise of Ponds, this body lotion is combined with exquisite and unique ingredients. Ponds Moisturizing Lotion is formulated with the essence of roses to give your skin a happy and a radiant glow. This lotion is the answer to all your skin woes and troubles. With long - lasting fragrance, it promises to give you smooth and a fragrant skin. This body lotion will give your skin the pampering it deserves, even in the harsh winter conditions! The lotion goes deep into the skin to nourish it from within, providing the skin with 3X nourishment. It guarantees to repair the damaged skin cells, leaving your skin soft and glowing. Treat your skin with the power of roses and say hello to a cheerful skin with Ponds Moisturizing Body Lotion. We recommend applying it twice daily as a part of your skincare regime. Massage lightly on the skin with fingertips until completely absorbed. Use this moisturizing lotion for smooth and fragrant skin that leaves you feeling happy and gorgeous!  Key FeaturesProvides long lasting fragranceGives 3X moisturisationGives smooth & fragrant skinRenews damaged cells from withinProvides vital nourishment to skinRecommended to be applied daily for best results Ingredientswatermineral oilsglycerine How to UseUse twice a day for best results. Apply generously and massage till it gets absorbed. StorageStore in a cool and dry place at normal room temperature. Shelf Life ( Months) / Best Before24 Months",Personal Care > Personal Care/Face Care
Olay Natural Aura Glowing Radiance SPF 15 Day Cream,Olay,399,355,Beauty & Cosmetics,Beauty & Cosmetics/Face Care,50 gm,"
Olay Natural White All in One Fairness Day Skin Cream gives you all in one fairness for skin that glows from within. Formulated with a triple vitamin system - Vitamin B, Pro-Vitamin B5 and Vitamin E to moisturise your skin and reduce the appearance of dark spots and dullness, for healthy skin that glows from within. It also has SPF 15 for a protective layer around your skin.

*Actual packaging may vary from the Image
",Beauty & Cosmetics > Beauty & Cosmetics/Skin Care > Beauty & Cosmetics/Face Care
Beardo Activated Charcoal Face Wash,Beardo,275,220,Personal Care,Personal Care/Face Care,100 ml,"Key Feature - Detoxifies & cleanses deeply- Removes dirt & dead cells- Controls excess oil- Fights acne and acne scarsHow to use - Squeeze out some product on your palms- Apply all over the face & lather-up- Rinse thoroughly with clean waterAny other must know informationKeep your skin looking fresher and cleaner with Beardo Activated Charcoal Facewash. The Activated Charcoal in the facewash removes impurities - dirt, oil & pollution - from your skin and detoxifies your skin. While charcoal control excess oil and removes dirt, Aloe-Vera soothes your skin and moisturizes it without leaving it dry like other face washes. Pull off the fresh-out-of-shower look with just a face wash and revisit your skin&rsquo;s purest avatar with Beardo Activated Charcoal Facewash.BenefitsIt controls excessive oil production and also has pollution control agents. It also prevents acneFrequently Asked Question'sWill it make my skin fair? - This facewash will help you remove dirt and detoxify your skin and make your natural skin tone clearer and healthier.Is it suitable for dry skin?- Yes, this facewash is made to be used for all types of skin, it won&rsquo;t leave your skin dry after washing.Can women use this too?- Beardo products are created to be effective on men's tough skin, however, there's no harm if women use them too!Care Instruction- Store in a cool & dry place.- Keep out of reach of children.- Avoid contact with eyes, rinse immediately with water.- Patch test recommended.About the BrandAll great men sport beards! Beardo pondered upon this thought and found that men with a greater cause and intellect accept their individuality, and are rational similarly, Beardo take pride in being real and different, just what it takes to be a Beardo. They always come up with breakthrough products that are hassle-free to use and are effective on men. Their primary focus is to change men&rsquo;s grooming game and help them become stylish and sexier than ever. Being a true-blue Beardo at heart, they will always bring forth products that men truly deserve.",Personal Care > Personal Care/Face Care
Pond's Dreamflower Fragrant Talcum Powder - Pink Lily,Pond's,110,97,Personal Care,Skin Care,100 gm,India,Personal Care > Skin Care
Pond's Dreamflower Fragrant Talcum Powder - Pink Lily,Pond's,215,175,Personal Care,Skin Care,200 gm,India,Personal Care > Skin Care
Pond's Dreamflower Fragrant Talcum Powder - Pink Lily,Pond's,340,279,Personal Care,Skin Care,400 gm,India,Personal Care > Skin Care
Grace Perfumed Talc,Grace,179,89,Personal Care,Skin Care,400 gm,"OverviewYour perfect freshness companion, this perfumed talcum powder makes you feel fresh, helps get rid of skin irritation and absorbs moisture. This is a perfect-sized bottle that you can carry along wherever you go.Key Features- Sandalwood fragrance- Helps you feel fresh- Absorbs sweat- Cooling property",Personal Care > Skin Care
